Building Type,Incident Zip,Borough,Day of Week,Date of Report,Duration of Call (min)
Private Home,11252,Brooklyn,2,2023-08-08,53
Villa,10469,Bronx,7,2023-10-15,9
Villa,10311,Staten Island,1,2023-10-02,59
Villa,11092,Queens,5,2023-03-31,59
Hotel,10463,Bronx,1,2023-12-04,47
Hotel,10306,Staten Island,2,2023-10-17,51
Hotel,10457,Bronx,2,2023-02-14,29
Hotel,10459,Bronx,5,2023-07-14,29
Apartment Complex,11019,Queens,6,2023-07-01,20
Apartment Complex,10306,Staten Island,1,2023-09-25,27
Private Home,10112,Manhattan,6,2023-08-12,53
Apartment Complex,10312,Staten Island,7,2023-07-30,29
Private Home,10470,Bronx,1,2023-07-03,46
Apartment Complex,10035,Manhattan,7,2023-07-30,37
Apartment Complex,11209,Brooklyn,2,2023-05-02,20
Hotel,10451,Bronx,1,2023-07-10,48
Hotel,10453,Bronx,4,2023-03-02,44
Hotel,11059,Queens,6,2023-06-24,56
Villa,11230,Brooklyn,2,2023-01-03,13
Villa,10059,Manhattan,3,2023-02-15,55
Hotel,10305,Staten Island,3,2023-06-21,31
Apartment Complex,10311,Staten Island,2,2023-03-28,23
Villa,11108,Queens,5,2023-04-28,38
Hotel,10313,Staten Island,6,2023-07-15,13
Villa,11107,Queens,7,2023-07-09,22
Hotel,10306,Staten Island,5,2023-08-25,30
Private Home,11238,Brooklyn,5,2023-01-27,53
Apartment Complex,11070,Queens,4,2023-11-02,31
Private Home,10313,Staten Island,7,2023-01-01,10
Hotel,10302,Staten Island,4,2023-08-10,58
Apartment Complex,11105,Queens,7,2023-03-05,14
Villa,11215,Brooklyn,7,2023-06-04,15
Villa,10466,Bronx,5,2023-09-29,43
Private Home,11212,Brooklyn,6,2023-02-25,19
Apartment Complex,10467,Bronx,5,2023-11-03,23
Villa,10005,Manhattan,3,2023-01-04,11
Villa,10461,Bronx,6,2023-04-01,7
Hotel,11014,Queens,5,2023-09-08,51
Apartment Complex,10310,Staten Island,4,2023-06-15,55
Private Home,10077,Manhattan,3,2023-02-08,21
Apartment Complex,10460,Bronx,7,2023-12-24,46
Hotel,10462,Bronx,6,2023-11-25,30
Villa,10473,Bronx,2,2023-08-22,36
Villa,11207,Brooklyn,2,2023-06-13,37
Villa,10138,Manhattan,3,2023-08-23,21
Villa,11201,Brooklyn,2,2023-08-22,9
Villa,11108,Queens,7,2023-02-05,7
Apartment Complex,10462,Bronx,6,2023-11-25,21
Hotel,10301,Staten Island,6,2023-06-24,31
Villa,10471,Bronx,2,2023-03-07,38
Hotel,10243,Manhattan,7,2023-04-30,35
Hotel,10305,Staten Island,2,2023-06-06,42
Villa,10303,Staten Island,4,2023-06-29,1
Private Home,10313,Staten Island,6,2023-12-30,1
Hotel,10459,Bronx,6,2023-12-30,51
Apartment Complex,10455,Bronx,6,2023-06-03,26
Apartment Complex,10303,Staten Island,4,2023-07-20,6
Villa,11065,Queens,3,2023-05-10,23
Private Home,10313,Staten Island,4,2023-06-01,53
Hotel,10150,Manhattan,3,2023-07-26,11
Private Home,10011,Manhattan,5,2023-05-26,31
Villa,11090,Queens,3,2023-08-02,45
Apartment Complex,10034,Manhattan,1,2023-02-27,41
Private Home,10463,Bronx,5,2023-09-22,3
Apartment Complex,11221,Brooklyn,6,2023-07-08,14
Villa,11019,Queens,1,2023-07-10,39
Hotel,11055,Queens,1,2023-10-09,44
Apartment Complex,10456,Bronx,2,2023-07-18,44
Private Home,10461,Bronx,4,2023-10-12,24
Hotel,11247,Brooklyn,1,2023-06-05,52
Villa,10009,Manhattan,3,2023-12-20,5
Private Home,11018,Queens,3,2023-10-25,13
Private Home,10029,Manhattan,2,2023-12-19,56
Villa,10060,Manhattan,2,2023-12-12,46
Hotel,10312,Staten Island,1,2023-12-18,25
Apartment Complex,11058,Queens,6,2023-06-24,38
Hotel,10457,Bronx,1,2023-01-02,36
Apartment Complex,11217,Brooklyn,3,2023-01-25,16
Hotel,11063,Queens,3,2023-03-15,33
Apartment Complex,10457,Bronx,7,2023-12-17,12
Apartment Complex,11012,Queens,4,2023-12-07,19
Private Home,10176,Manhattan,1,2023-11-20,54
Hotel,10239,Manhattan,6,2023-09-02,59
Apartment Complex,11214,Brooklyn,1,2023-01-02,57
Apartment Complex,10303,Staten Island,6,2023-07-01,2
Hotel,10079,Manhattan,4,2023-02-16,21
Private Home,11230,Brooklyn,5,2023-04-28,52
Hotel,10147,Manhattan,3,2023-12-06,53
Hotel,10467,Bronx,2,2023-03-28,31
Villa,10473,Bronx,7,2023-07-30,30
Private Home,10174,Manhattan,3,2023-04-26,47
Villa,11050,Queens,7,2023-09-17,10
Private Home,10113,Manhattan,7,2023-11-26,48
Private Home,10303,Staten Island,6,2023-03-18,44
Private Home,11033,Queens,7,2023-12-24,39
Private Home,10310,Staten Island,6,2023-03-25,8
Hotel,10461,Bronx,1,2023-10-16,43
Apartment Complex,10309,Staten Island,3,2023-07-12,49
Private Home,10006,Manhattan,2,2023-08-22,9
Villa,11217,Brooklyn,5,2023-11-24,24
Private Home,10313,Staten Island,2,2023-01-31,43
Villa,10310,Staten Island,7,2023-05-21,41
Villa,10302,Staten Island,3,2023-09-20,12
Hotel,11213,Brooklyn,7,2023-06-11,50
Apartment Complex,10472,Bronx,6,2023-06-17,28
Villa,11246,Brooklyn,7,2023-08-13,10
Private Home,11253,Brooklyn,7,2023-10-22,13
Villa,11050,Queens,3,2023-11-22,44
Apartment Complex,11004,Queens,2,2023-10-24,44
Hotel,11105,Queens,4,2023-07-13,13
Apartment Complex,10303,Staten Island,7,2023-10-29,53
Private Home,10119,Manhattan,1,2023-01-09,28
Villa,11214,Brooklyn,4,2023-08-17,38
Private Home,10309,Staten Island,5,2023-10-13,53
Hotel,10309,Staten Island,1,2023-01-09,3
Hotel,11013,Queens,7,2023-12-31,7
Hotel,11211,Brooklyn,4,2023-03-30,15
Hotel,10305,Staten Island,1,2023-01-30,11
Hotel,11233,Brooklyn,5,2023-12-29,6
Apartment Complex,11243,Brooklyn,1,2023-06-19,38
Apartment Complex,11060,Queens,1,2023-06-19,2
Private Home,10470,Bronx,5,2023-03-03,43
Apartment Complex,10303,Staten Island,2,2023-09-12,44
Hotel,11097,Queens,6,2023-06-17,41
Apartment Complex,10463,Bronx,5,2023-11-10,8
Private Home,10279,Manhattan,2,2023-02-28,59
Villa,10151,Manhattan,7,2023-02-26,30
Private Home,11027,Queens,1,2023-10-16,15
Private Home,11238,Brooklyn,3,2023-11-01,19
Apartment Complex,11242,Brooklyn,5,2023-11-03,48
Villa,11023,Queens,3,2023-03-01,56
Private Home,10303,Staten Island,5,2023-09-08,21
Apartment Complex,11027,Queens,6,2023-10-14,22
Apartment Complex,10453,Bronx,1,2023-09-18,49
Villa,11248,Brooklyn,4,2023-11-09,11
Private Home,11225,Brooklyn,4,2023-04-27,20
Apartment Complex,11241,Brooklyn,1,2023-07-03,59
Private Home,10468,Bronx,4,2023-06-08,33
Apartment Complex,10312,Staten Island,4,2023-09-21,13
Villa,11061,Queens,2,2023-11-28,28
Private Home,11052,Queens,7,2023-12-24,10
Private Home,10032,Manhattan,2,2023-09-12,40
Hotel,10310,Staten Island,1,2023-12-04,20
Hotel,10461,Bronx,3,2023-12-27,19
Private Home,10308,Staten Island,4,2023-09-14,23
Apartment Complex,10121,Manhattan,7,2023-04-09,46
Apartment Complex,10025,Manhattan,6,2023-11-04,12
Hotel,10107,Manhattan,3,2023-02-15,25
Private Home,10458,Bronx,2,2023-02-07,37
Private Home,10303,Staten Island,4,2023-06-08,52
Villa,11004,Queens,5,2023-06-23,34
Private Home,10454,Bronx,3,2023-04-05,38
Hotel,10464,Bronx,3,2023-12-27,23
Hotel,10302,Staten Island,1,2023-03-06,19
Villa,10256,Manhattan,7,2023-12-24,22
Villa,11214,Brooklyn,2,2023-02-28,21
Hotel,10052,Manhattan,2,2023-02-21,56
Hotel,11216,Brooklyn,2,2023-05-09,36
Hotel,10144,Manhattan,1,2023-09-18,57
Private Home,10229,Manhattan,5,2023-08-25,9
Hotel,11218,Brooklyn,4,2023-08-24,16
Villa,11251,Brooklyn,5,2023-11-17,34
Apartment Complex,10307,Staten Island,6,2023-04-22,12
Villa,10456,Bronx,6,2023-10-07,34
Villa,10453,Bronx,4,2023-04-06,51
Apartment Complex,11254,Brooklyn,6,2023-09-16,1
Private Home,11103,Queens,6,2023-08-26,17
Villa,11238,Brooklyn,6,2023-07-01,1
Private Home,10150,Manhattan,6,2023-07-01,54
Hotel,10471,Bronx,3,2023-01-11,34
Villa,10312,Staten Island,4,2023-12-21,3
Apartment Complex,10219,Manhattan,1,2023-05-15,28
Villa,10455,Bronx,3,2023-08-09,57
Apartment Complex,10473,Bronx,5,2023-11-03,10
Villa,11031,Queens,1,2023-04-10,45
Hotel,10311,Staten Island,2,2023-04-18,54
Private Home,10313,Staten Island,4,2023-08-10,48
Apartment Complex,11213,Brooklyn,4,2023-08-24,16
Villa,11086,Queens,6,2023-03-25,22
Private Home,10131,Manhattan,4,2023-11-09,58
Apartment Complex,10312,Staten Island,5,2023-04-21,24
Villa,10303,Staten Island,5,2023-12-15,51
Hotel,10470,Bronx,6,2023-10-14,27
Private Home,10464,Bronx,5,2023-11-03,46
Private Home,11094,Queens,2,2023-01-17,26
Hotel,10463,Bronx,3,2023-10-18,42
Apartment Complex,10304,Staten Island,1,2024-01-01,43
Private Home,11019,Queens,7,2023-12-03,34
Private Home,11226,Brooklyn,3,2023-08-23,40
Villa,10053,Manhattan,6,2023-11-25,37
Apartment Complex,10240,Manhattan,3,2023-11-22,37
Villa,11226,Brooklyn,1,2023-04-24,7
Hotel,11091,Queens,4,2023-08-03,44
Private Home,11061,Queens,4,2023-02-23,53
Apartment Complex,11204,Brooklyn,4,2023-07-20,35
Apartment Complex,11020,Queens,4,2023-11-23,17
Apartment Complex,10454,Bronx,3,2023-09-13,6
Hotel,10309,Staten Island,2,2023-02-07,32
Private Home,11022,Queens,3,2023-06-28,32
Villa,11223,Brooklyn,3,2023-04-12,48
Apartment Complex,10458,Bronx,5,2023-11-10,6
Hotel,10031,Manhattan,7,2023-09-24,38
Villa,10181,Manhattan,4,2023-08-17,45
Hotel,11036,Queens,4,2023-10-12,31
Villa,10305,Staten Island,7,2023-06-11,20
Villa,11045,Queens,2,2023-07-11,18
Private Home,10053,Manhattan,1,2023-08-21,30
Hotel,11004,Queens,4,2023-09-14,11
Apartment Complex,11101,Queens,3,2023-05-31,14
Hotel,10308,Staten Island,4,2023-05-04,55
Hotel,10257,Manhattan,7,2023-10-01,15
Hotel,10303,Staten Island,4,2023-01-12,12
Hotel,11207,Brooklyn,3,2023-05-31,30
Villa,10303,Staten Island,7,2023-12-31,14
Villa,10458,Bronx,1,2023-01-16,2
Villa,10453,Bronx,3,2023-10-18,17
Hotel,10106,Manhattan,2,2023-05-23,37
Villa,11072,Queens,4,2023-04-27,26
Villa,10453,Bronx,1,2023-10-16,29
Hotel,10312,Staten Island,7,2023-09-10,35
Private Home,11013,Queens,6,2023-12-09,24
Hotel,11106,Queens,4,2023-10-26,37
Apartment Complex,10456,Bronx,7,2023-12-03,3
Hotel,10467,Bronx,4,2023-01-26,6
Apartment Complex,11251,Brooklyn,3,2023-08-30,32
Villa,10463,Bronx,4,2023-11-16,15
Villa,10234,Manhattan,7,2023-04-09,52
Villa,10473,Bronx,7,2023-01-22,24
Private Home,11203,Brooklyn,3,2023-02-08,41
Private Home,11207,Brooklyn,2,2023-12-05,58
Villa,10301,Staten Island,1,2023-08-14,21
Private Home,10307,Staten Island,4,2023-08-31,59
Villa,10467,Bronx,7,2023-04-09,2
Villa,10470,Bronx,5,2023-02-24,56
Hotel,10012,Manhattan,5,2023-04-21,57
Private Home,10469,Bronx,2,2023-06-13,10
Hotel,10311,Staten Island,6,2023-02-11,42
Villa,11083,Queens,4,2023-09-21,57
Villa,10464,Bronx,2,2023-08-22,40
Apartment Complex,11019,Queens,4,2023-11-02,9
Apartment Complex,11252,Brooklyn,2,2023-03-28,19
Apartment Complex,10456,Bronx,4,2023-04-06,58
Villa,10305,Staten Island,1,2023-11-27,5
Hotel,11221,Brooklyn,2,2023-01-31,30
Hotel,11066,Queens,4,2023-10-19,36
Apartment Complex,10312,Staten Island,4,2023-05-18,42
Villa,10304,Staten Island,1,2023-02-20,24
Apartment Complex,11220,Brooklyn,6,2023-04-15,17
Apartment Complex,10199,Manhattan,1,2023-09-18,50
Hotel,10462,Bronx,5,2023-03-17,5
Apartment Complex,10305,Staten Island,2,2023-09-05,46
Hotel,10255,Manhattan,6,2023-07-08,27
Private Home,11071,Queens,6,2023-01-28,38
Hotel,10178,Manhattan,3,2023-08-23,48
Hotel,10306,Staten Island,5,2023-03-03,7
Apartment Complex,10474,Bronx,1,2023-08-28,32
Hotel,11211,Brooklyn,6,2023-08-26,1
Private Home,10455,Bronx,2,2023-08-22,31
Hotel,10030,Manhattan,3,2023-09-20,56
Hotel,11085,Queens,6,2023-11-11,40
Private Home,10468,Bronx,1,2023-03-13,36
Apartment Complex,10311,Staten Island,6,2023-01-14,34
Private Home,10201,Manhattan,4,2023-06-15,45
Apartment Complex,10303,Staten Island,4,2023-05-04,28
Villa,11254,Brooklyn,4,2023-07-13,44
Private Home,11094,Queens,5,2023-08-18,22
Hotel,11108,Queens,1,2023-04-24,43
Villa,10461,Bronx,6,2023-02-04,40
Apartment Complex,10306,Staten Island,5,2023-12-29,46
Villa,10017,Manhattan,1,2023-07-03,60
Apartment Complex,10311,Staten Island,1,2023-01-23,38
Private Home,10130,Manhattan,2,2023-10-24,59
Apartment Complex,10082,Manhattan,6,2023-09-02,32
Hotel,11062,Queens,1,2023-07-17,37
Private Home,10457,Bronx,1,2023-06-26,8
Villa,11101,Queens,7,2023-06-25,46
Hotel,11250,Brooklyn,5,2023-02-24,16
Hotel,11218,Brooklyn,6,2023-01-21,12
Private Home,10302,Staten Island,3,2023-01-18,38
Private Home,10472,Bronx,1,2023-07-10,46
Hotel,11030,Queens,6,2023-06-17,8
Hotel,10474,Bronx,7,2023-09-24,18
Private Home,10451,Bronx,2,2023-03-07,38
Apartment Complex,10302,Staten Island,3,2023-02-01,31
Hotel,10474,Bronx,2,2023-04-18,53
Villa,10460,Bronx,7,2023-11-12,24
Hotel,11054,Queens,4,2023-05-04,51
Private Home,11091,Queens,3,2023-08-23,19
Hotel,10466,Bronx,2,2023-12-12,17
Villa,10004,Manhattan,7,2023-12-24,57
Hotel,10305,Staten Island,2,2023-05-23,31
Villa,11245,Brooklyn,7,2023-08-27,36
Hotel,10150,Manhattan,5,2023-10-20,9
Villa,11100,Queens,7,2023-03-26,14
Private Home,10307,Staten Island,6,2023-12-09,36
Villa,11209,Brooklyn,3,2023-10-04,11
Apartment Complex,10461,Bronx,7,2023-11-12,40
Hotel,10270,Manhattan,3,2023-03-01,27
Hotel,10205,Manhattan,5,2023-10-13,56
Hotel,11246,Brooklyn,7,2023-12-17,40
Villa,10461,Bronx,4,2023-01-19,48
Apartment Complex,10312,Staten Island,5,2023-10-06,46
Villa,10458,Bronx,3,2023-08-23,51
Apartment Complex,11100,Queens,4,2023-01-26,29
Villa,10452,Bronx,1,2023-05-15,16
Apartment Complex,10465,Bronx,5,2023-09-29,47
Hotel,11069,Queens,2,2023-09-05,51
Apartment Complex,10310,Staten Island,3,2023-10-04,43
Hotel,10470,Bronx,5,2023-06-16,34
Hotel,10463,Bronx,2,2023-03-21,49
Hotel,11042,Queens,2,2023-01-10,22
Villa,10002,Manhattan,1,2023-07-10,5
Hotel,11201,Brooklyn,2,2023-09-26,11
Hotel,11093,Queens,5,2023-03-17,41
Apartment Complex,10303,Staten Island,3,2023-10-25,59
Apartment Complex,11076,Queens,5,2023-09-01,10
Hotel,11217,Brooklyn,7,2023-02-26,2
Apartment Complex,10308,Staten Island,7,2023-04-30,32
Private Home,11201,Brooklyn,1,2023-05-08,5
Villa,10303,Staten Island,1,2023-01-23,19
Hotel,10311,Staten Island,1,2023-11-13,8
Villa,10232,Manhattan,1,2023-06-12,60
Apartment Complex,10308,Staten Island,3,2023-07-05,28
Hotel,10308,Staten Island,1,2023-06-05,33
Villa,10464,Bronx,7,2023-12-24,37
Private Home,10225,Manhattan,2,2023-02-28,32
Apartment Complex,11210,Brooklyn,6,2023-03-04,55
Hotel,11070,Queens,6,2023-07-22,26
Private Home,10454,Bronx,2,2023-01-24,27
Private Home,10246,Manhattan,7,2023-04-02,10
Villa,10261,Manhattan,5,2023-02-24,2
Private Home,10452,Bronx,2,2023-06-06,58
Villa,10311,Staten Island,7,2023-10-22,27
Private Home,10307,Staten Island,2,2023-08-01,31
Apartment Complex,10467,Bronx,7,2023-01-22,21
Villa,11205,Brooklyn,3,2023-11-08,39
Private Home,10270,Manhattan,7,2023-06-04,15
Hotel,11240,Brooklyn,3,2023-07-26,57
Apartment Complex,10462,Bronx,3,2023-09-06,60
Private Home,11034,Queens,4,2023-03-09,21
Villa,10140,Manhattan,4,2023-11-02,25
Villa,10471,Bronx,2,2023-01-17,9
Private Home,11015,Queens,3,2023-12-06,43
Villa,10111,Manhattan,5,2023-04-14,11
Villa,10303,Staten Island,3,2023-07-19,45
Apartment Complex,10465,Bronx,2,2023-10-17,52
Apartment Complex,11032,Queens,4,2023-01-12,12
Hotel,10308,Staten Island,5,2023-07-07,55
Private Home,10259,Manhattan,3,2023-12-20,3
Apartment Complex,10309,Staten Island,2,2023-07-18,42
Private Home,11019,Queens,1,2023-10-30,16
Villa,11031,Queens,5,2023-06-30,36
Hotel,10218,Manhattan,3,2023-11-15,19
Hotel,10302,Staten Island,3,2023-10-11,36
Apartment Complex,10041,Manhattan,6,2023-03-25,40
Apartment Complex,10302,Staten Island,1,2023-07-10,22
Apartment Complex,10039,Manhattan,5,2023-01-13,23
Hotel,11104,Queens,6,2023-03-04,9
Hotel,10138,Manhattan,6,2023-02-11,43
Private Home,11253,Brooklyn,1,2023-09-11,59
Hotel,11097,Queens,1,2023-03-06,3
Hotel,10468,Bronx,1,2023-04-17,2
Hotel,10304,Staten Island,6,2023-02-11,38
Hotel,11080,Queens,1,2023-03-13,39
Villa,10213,Manhattan,7,2023-05-28,28
Villa,10303,Staten Island,1,2023-01-30,3
Apartment Complex,11232,Brooklyn,6,2023-12-02,42
Apartment Complex,11013,Queens,6,2023-08-26,60
Villa,11247,Brooklyn,2,2023-08-15,15
Hotel,10151,Manhattan,4,2023-01-19,33
Private Home,11035,Queens,5,2023-11-24,28
Private Home,11201,Brooklyn,3,2023-11-15,45
Private Home,11093,Queens,2,2023-10-03,22
Villa,10311,Staten Island,4,2023-05-18,48
Apartment Complex,11081,Queens,5,2023-05-05,47
Private Home,10229,Manhattan,5,2023-08-25,38
Private Home,10250,Manhattan,4,2023-09-14,12
Villa,10474,Bronx,3,2023-11-15,15
Apartment Complex,10306,Staten Island,7,2023-02-12,52
Villa,10160,Manhattan,6,2023-08-26,57
Private Home,11075,Queens,5,2023-03-31,12
Hotel,10079,Manhattan,3,2023-01-04,51
Apartment Complex,11084,Queens,1,2023-10-16,9
Private Home,11065,Queens,4,2023-03-23,36
Apartment Complex,11022,Queens,5,2023-12-29,42
Villa,11007,Queens,1,2023-03-20,2
Private Home,11205,Brooklyn,5,2023-07-28,34
Hotel,10464,Bronx,6,2023-04-29,34
Hotel,10140,Manhattan,7,2023-06-04,19
Private Home,10161,Manhattan,4,2023-12-14,33
Villa,11022,Queens,2,2023-07-04,24
Hotel,11226,Brooklyn,6,2023-07-22,3
Villa,10452,Bronx,1,2023-09-18,30
Villa,11244,Brooklyn,2,2023-06-06,13
Apartment Complex,10474,Bronx,5,2023-12-08,58
Hotel,11056,Queens,6,2023-09-02,44
Villa,11056,Queens,2,2023-04-25,18
Private Home,10463,Bronx,3,2023-11-29,35
Private Home,10304,Staten Island,3,2023-07-05,33
Villa,11064,Queens,5,2023-05-19,33
Apartment Complex,10456,Bronx,5,2023-01-20,35
Private Home,11218,Brooklyn,5,2023-08-11,38
Hotel,10304,Staten Island,5,2023-10-20,5
Private Home,11057,Queens,5,2023-10-13,5
Private Home,11243,Brooklyn,7,2023-02-12,19
Private Home,11081,Queens,7,2023-02-26,31
Hotel,10459,Bronx,5,2023-06-16,27
Apartment Complex,10038,Manhattan,3,2023-03-01,23
Apartment Complex,11213,Brooklyn,2,2023-07-04,26
Villa,11036,Queens,1,2023-10-16,1
Apartment Complex,10163,Manhattan,5,2023-08-25,24
Private Home,11005,Queens,2,2023-09-19,34
Villa,10096,Manhattan,2,2023-02-14,42
Apartment Complex,10457,Bronx,6,2023-09-23,30
Hotel,11240,Brooklyn,4,2023-03-09,19
Apartment Complex,10468,Bronx,3,2023-02-22,52
Hotel,11250,Brooklyn,6,2023-12-09,56
Apartment Complex,11052,Queens,5,2023-10-20,38
Hotel,10192,Manhattan,6,2023-10-28,31
Apartment Complex,10460,Bronx,6,2023-03-04,40
Villa,10197,Manhattan,5,2023-04-07,28
Villa,11244,Brooklyn,4,2023-06-01,5
Hotel,10182,Manhattan,7,2023-09-03,39
Private Home,10305,Staten Island,3,2023-09-06,43
Hotel,10269,Manhattan,3,2023-06-07,26
Hotel,11091,Queens,5,2023-06-09,32
Villa,11055,Queens,3,2023-07-19,40
Hotel,11231,Brooklyn,1,2023-10-16,29
Apartment Complex,10006,Manhattan,1,2023-01-23,25
Hotel,10461,Bronx,7,2023-02-19,5
Apartment Complex,11059,Queens,1,2023-04-03,3
Apartment Complex,10306,Staten Island,2,2023-08-29,20
Apartment Complex,10220,Manhattan,1,2023-08-21,15
Private Home,10304,Staten Island,4,2023-08-10,6
Villa,10463,Bronx,6,2023-09-02,56
Villa,10081,Manhattan,1,2023-05-29,27
Hotel,10216,Manhattan,5,2023-03-17,47
Villa,11095,Queens,2,2023-09-26,57
Apartment Complex,11098,Queens,6,2023-04-01,18
Villa,11238,Brooklyn,4,2023-07-27,24
Hotel,11097,Queens,1,2023-07-31,53
Apartment Complex,10233,Manhattan,7,2023-10-01,35
Hotel,10465,Bronx,5,2023-08-25,20
Apartment Complex,10163,Manhattan,5,2023-07-07,37
Hotel,11211,Brooklyn,6,2023-09-02,32
Apartment Complex,11217,Brooklyn,5,2023-01-13,20
Villa,11004,Queens,2,2023-01-10,36
Villa,10311,Staten Island,3,2023-03-01,44
Villa,11071,Queens,7,2023-04-23,47
Hotel,10459,Bronx,5,2023-06-02,40
Hotel,10464,Bronx,1,2023-07-31,16
Hotel,10100,Manhattan,7,2023-04-09,19
Villa,11107,Queens,6,2023-01-07,49
Hotel,10454,Bronx,7,2023-05-28,29
Private Home,11097,Queens,4,2023-05-25,2
Private Home,10201,Manhattan,6,2023-11-18,39
Private Home,10075,Manhattan,3,2023-06-28,21
Hotel,10312,Staten Island,3,2023-03-15,8
Private Home,11089,Queens,3,2023-02-08,48
Apartment Complex,10456,Bronx,1,2023-10-09,25
Villa,10250,Manhattan,1,2023-10-23,25
Hotel,11026,Queens,1,2023-01-09,3
Apartment Complex,11069,Queens,7,2023-12-03,25
Apartment Complex,11065,Queens,4,2023-07-27,49
Apartment Complex,10135,Manhattan,1,2023-05-22,58
Apartment Complex,10311,Staten Island,7,2023-04-30,50
Private Home,11235,Brooklyn,6,2023-07-01,31
Private Home,11212,Brooklyn,6,2023-09-23,41
Villa,10237,Manhattan,2,2023-04-11,59
Apartment Complex,10311,Staten Island,3,2023-01-25,38
Apartment Complex,10468,Bronx,7,2023-07-16,36
Villa,11211,Brooklyn,4,2023-07-20,17
Villa,11054,Queens,4,2023-12-14,1
Hotel,10461,Bronx,5,2023-02-17,8
Hotel,10171,Manhattan,4,2023-07-13,27
Hotel,10312,Staten Island,6,2023-04-15,23
Private Home,10245,Manhattan,7,2023-07-16,54
Villa,10306,Staten Island,5,2023-02-24,28
Villa,10460,Bronx,6,2023-05-13,40
Private Home,10307,Staten Island,2,2023-08-22,55
Hotel,11250,Brooklyn,6,2023-12-02,53
Villa,10470,Bronx,2,2023-07-04,58
Villa,10182,Manhattan,7,2023-10-08,43
Villa,10113,Manhattan,5,2023-12-29,37
Private Home,10465,Bronx,7,2023-01-01,55
Private Home,10467,Bronx,2,2023-03-21,49
Private Home,10136,Manhattan,7,2023-09-24,44
Private Home,10468,Bronx,2,2023-04-11,5
Hotel,11070,Queens,7,2023-08-13,29
Villa,11095,Queens,2,2023-07-11,39
Private Home,11020,Queens,4,2023-04-27,60
Villa,10009,Manhattan,6,2023-12-02,25
Hotel,11255,Brooklyn,4,2023-04-13,47
Hotel,10466,Bronx,6,2023-01-21,58
Villa,11013,Queens,6,2023-10-28,48
Private Home,10305,Staten Island,7,2023-12-31,58
Apartment Complex,10465,Bronx,4,2023-04-20,6
Private Home,10464,Bronx,6,2023-02-11,31
Villa,11205,Brooklyn,1,2023-08-14,12
Apartment Complex,11020,Queens,5,2023-12-22,33
Apartment Complex,10457,Bronx,3,2023-08-16,49
Apartment Complex,11082,Queens,3,2023-08-30,58
Apartment Complex,10312,Staten Island,5,2023-02-03,50
Private Home,10113,Manhattan,2,2023-01-24,38
Hotel,11011,Queens,4,2023-02-16,37
Private Home,11086,Queens,2,2023-11-14,1
Apartment Complex,11241,Brooklyn,2,2023-09-12,54
Villa,11069,Queens,7,2023-05-07,25
Private Home,11207,Brooklyn,4,2023-10-26,9
Apartment Complex,10225,Manhattan,5,2023-12-01,18
Villa,11244,Brooklyn,2,2023-03-07,51
Villa,10022,Manhattan,5,2023-04-28,19
Apartment Complex,10311,Staten Island,7,2023-08-20,43
Private Home,10453,Bronx,2,2023-07-04,8
Villa,10455,Bronx,4,2023-06-15,29
Private Home,10305,Staten Island,6,2023-02-25,9
Villa,11211,Brooklyn,4,2023-11-09,26
Villa,10210,Manhattan,4,2023-11-02,30
Hotel,11208,Brooklyn,2,2023-09-19,46
Apartment Complex,11240,Brooklyn,6,2023-06-17,36
Villa,10460,Bronx,5,2023-12-15,30
Villa,10307,Staten Island,1,2023-10-16,11
Hotel,10454,Bronx,3,2023-08-02,36
Apartment Complex,10471,Bronx,4,2023-11-16,25
Hotel,11232,Brooklyn,4,2023-09-14,45
Villa,10465,Bronx,4,2023-02-16,2
Villa,11221,Brooklyn,4,2023-02-09,30
Apartment Complex,10227,Manhattan,7,2023-01-22,39
Hotel,10028,Manhattan,6,2023-03-11,43
Hotel,10124,Manhattan,6,2023-10-07,43
Hotel,10311,Staten Island,5,2023-11-24,18
Private Home,10453,Bronx,2,2023-08-22,40
Private Home,10247,Manhattan,1,2023-05-08,29
Apartment Complex,11228,Brooklyn,1,2023-05-29,18
Private Home,10011,Manhattan,6,2023-02-11,24
Hotel,11079,Queens,5,2023-09-01,1
Apartment Complex,11043,Queens,7,2023-01-08,43
Apartment Complex,10467,Bronx,7,2023-01-08,11
Private Home,10239,Manhattan,7,2023-01-08,60
Hotel,11047,Queens,2,2023-05-02,40
Villa,10313,Staten Island,4,2023-04-20,22
Hotel,10268,Manhattan,2,2023-02-28,53
Villa,11065,Queens,5,2023-05-05,16
Private Home,10254,Manhattan,5,2023-04-14,52
Villa,10004,Manhattan,7,2023-04-09,28
Apartment Complex,11050,Queens,2,2023-06-27,60
Private Home,11029,Queens,1,2023-10-30,17
Villa,11022,Queens,7,2023-01-15,32
Private Home,11005,Queens,7,2023-04-30,5
Villa,10195,Manhattan,4,2023-04-13,41
Apartment Complex,11207,Brooklyn,4,2023-05-18,29
Villa,11032,Queens,1,2023-01-30,12
Apartment Complex,10311,Staten Island,5,2023-07-28,38
Hotel,11092,Queens,4,2023-12-07,31
Private Home,10461,Bronx,6,2023-02-18,33
Apartment Complex,10140,Manhattan,4,2023-08-31,14
Hotel,11090,Queens,6,2023-12-23,53
Apartment Complex,10233,Manhattan,1,2023-12-04,32
Private Home,10302,Staten Island,5,2023-03-10,12
